ExciseTaxNbr,Month,Day,Year,SalePrice,PropertyType,PropertyClass,PrincipalUse,SaleInstrument,SaleReason,AFHistoricProperty
2500644,07,08,2011,0,3,8,6,3,5,N
1296187,02,02,1993,0,3,8,0,15,9,N
2311527,09,11,2007,379000,2,3,2,15,10,N
2570332,10,23,2012,13400000,3,2,7,22,1,N
2261306,01,19,2007,2800000,3,2,11,22,1,N
2261306,01,19,2007,2800000,3,2,11,22,1,N
2261306,01,19,2007,2800000,3,2,11,22,1,N
1625698,07,13,1998,20000,3,2,11,3,5,N
1304843,04,21,1993,91000,3,8,6,2,1,N
1558581,07,29,1997,237500,3,8,6,3,1,N
2093234,12,28,2004,285670,2,8,0,3,1,N
2645235,12,02,2013,565000,3,3,2,3,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
